epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,214.099,1.74651,1.88882,1.72777,0.40876,0.24561,0.23502,0.11548,1.77806,2.23995,1.91726,0.00033114,0.00033114,0.00033114
2,419.236,1.77988,1.64542,1.77211,0.56037,0.21749,0.22907,0.10567,1.92584,1.53064,2.12764,0.000657895,0.000657895,0.000657895
3,623.765,1.76892,1.58277,1.77187,0.39643,0.31289,0.28379,0.11665,1.88691,1.59978,1.94325,0.00097805,0.00097805,0.00097805
4,830.077,1.72522,1.49368,1.75481,0.2018,0.24545,0.18767,0.09207,1.98207,2.34678,2.06949,0.0009703,0.0009703,0.0009703
5,1031.72,1.65813,1.39654,1.71206,0.48319,0.37675,0.38338,0.20207,1.66643,1.26295,1.82357,0.0009604,0.0009604,0.0009604
6,1241.97,1.63209,1.29901,1.67967,0.45334,0.5825,0.39021,0.19582,1.66522,1.14809,1.77045,0.0009505,0.0009505,0.0009505
7,1442.93,1.59637,1.26881,1.64857,0.55717,0.39056,0.43266,0.21882,1.62028,1.05141,1.71893,0.0009406,0.0009406,0.0009406
8,1645.78,1.55016,1.16007,1.61554,0.58837,0.55976,0.52259,0.24177,1.61255,0.95855,1.72691,0.0009307,0.0009307,0.0009307
9,1850.18,1.52391,1.1169,1.59862,0.54324,0.58916,0.56128,0.29093,1.57454,0.92697,1.68937,0.0009208,0.0009208,0.0009208
10,2054.73,1.49619,1.08542,1.56111,0.53307,0.45497,0.48945,0.25932,1.5272,0.94001,1.66628,0.0009109,0.0009109,0.0009109
11,2255.56,1.46985,1.06452,1.54455,0.46136,0.67512,0.56846,0.2533,1.54505,0.89324,1.70134,0.000901,0.000901,0.000901
12,2456.21,1.43484,0.98575,1.52198,0.75305,0.57837,0.63983,0.32933,1.54283,0.86175,1.65921,0.0008911,0.0008911,0.0008911
13,2663.26,1.43581,0.98838,1.5305,0.72106,0.59652,0.64845,0.32601,1.50816,0.87497,1.62162,0.0008812,0.0008812,0.0008812
14,2863.8,1.39806,0.93646,1.4963,0.83666,0.61694,0.69748,0.38087,1.49131,0.78206,1.62604,0.0008713,0.0008713,0.0008713
